Node,N1
M1,-0.0
M2,2.4138046113491294
M3,73.13595478484206
M4,-0.0
M5,48.690376111804284
M6,-0.0
M7,-0.0
M8,-0.0
M9,31.864498311655083
M10,27.10988737589096
